Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length Fwd,Fwd Packet Max,Idle Mean,Label
8727304,9,15,106,23,0.0,BruteForce
9398800,9,15,99,20,0.0,BruteForce
8387007,9,15,115,29,0.0,BruteForce
246,2,1,14,14,0.0,BruteForce
232,2,1,14,14,0.0,BruteForce
8960541,9,15,113,33,0.0,BruteForce
9012180,9,15,110,24,0.0,BruteForce
244,2,1,14,14,0.0,BruteForce
13,2,0,14,14,0.0,BruteForce
8770961,9,15,107,23,0.0,BruteForce
215,2,1,14,14,0.0,BruteForce
7815082,9,15,99,20,0.0,BruteForce
9679375,9,15,101,22,0.0,BruteForce
9615305,9,15,110,29,0.0,BruteForce
8568890,9,15,106,25,0.0,BruteForce
8911289,9,15,124,32,0.0,BruteForce
8465700,9,15,105,23,0.0,BruteForce
222,2,1,14,14,0.0,BruteForce
8645643,9,15,107,23,0.0,BruteForce
8850439,9,15,110,23,0.0,BruteForce
9539272,9,15,103,22,0.0,BruteForce
255,2,1,14,14,0.0,BruteForce
8807677,9,15,105,23,0.0,BruteForce
9575071,9,15,125,37,0.0,BruteForce
9192125,9,15,103,23,0.0,BruteForce
244,2,1,14,14,0.0,BruteForce
212,2,1,14,14,0.0,BruteForce
8863522,9,15,106,22,0.0,BruteForce
246,2,1,14,14,0.0,BruteForce
8013424,9,15,103,23,0.0,BruteForce
274,2,1,14,14,0.0,BruteForce
249,2,1,14,14,0.0,BruteForce
8484067,9,15,104,22,0.0,BruteForce
9314058,9,15,101,23,0.0,BruteForce
252,2,1,14,14,0.0,BruteForce
8467014,9,15,107,25,0.0,BruteForce
203,2,1,14,14,0.0,BruteForce
8982866,9,15,109,26,0.0,BruteForce
266,2,1,14,14,0.0,BruteForce
8713255,9,15,102,22,0.0,BruteForce
10074935,9,15,105,24,0.0,BruteForce
9657345,9,15,110,23,0.0,BruteForce
262,2,1,14,14,0.0,BruteForce
9152481,9,15,105,24,0.0,BruteForce
10039166,9,15,97,22,0.0,BruteForce
8960844,9,15,100,21,0.0,BruteForce
9051401,9,15,112,26,0.0,BruteForce
9490863,9,15,108,23,0.0,BruteForce
8259947,9,15,100,20,0.0,BruteForce
8590768,9,15,102,23,0.0,BruteForce
251,2,1,14,14,0.0,BruteForce
190,2,2,14,14,0.0,BruteForce
8518070,9,15,100,23,0.0,BruteForce
204,2,1,14,14,0.0,BruteForce
9603105,9,15,112,24,0.0,BruteForce
8938730,9,15,114,29,0.0,BruteForce
274,2,1,14,14,0.0,BruteForce
8315112,9,15,112,24,0.0,BruteForce
8995080,9,15,107,23,0.0,BruteForce
9009393,9,15,121,29,0.0,BruteForce
9089848,9,15,104,23,0.0,BruteForce
9211764,9,15,97,20,0.0,BruteForce
8567027,9,15,103,23,0.0,BruteForce
221,2,1,14,14,0.0,BruteForce
9675841,9,15,111,26,0.0,BruteForce
207,2,1,14,14,0.0,BruteForce
247,2,1,14,14,0.0,BruteForce
8999740,9,15,112,26,0.0,BruteForce
8980285,9,15,102,24,0.0,BruteForce
9199570,9,15,107,23,0.0,BruteForce
8570086,9,15,102,22,0.0,BruteForce
9066738,9,15,101,20,0.0,BruteForce
10154871,9,15,100,23,0.0,BruteForce
8562686,9,15,101,21,0.0,BruteForce
226,2,1,14,14,0.0,BruteForce
9343463,9,15,106,22,0.0,BruteForce
8264537,9,15,106,23,0.0,BruteForce
267,2,1,14,14,0.0,BruteForce
9276061,9,15,115,29,0.0,BruteForce
7801201,9,15,108,25,0.0,BruteForce
9012528,9,15,103,23,0.0,BruteForce
8836458,9,15,111,26,0.0,BruteForce
8658125,9,15,103,23,0.0,BruteForce
9354390,9,15,100,23,0.0,BruteForce
245,2,1,14,14,0.0,BruteForce
9018484,9,15,106,23,0.0,BruteForce
234,2,1,14,14,0.0,BruteForce
9607531,9,15,99,20,0.0,BruteForce
8559330,9,15,118,27,0.0,BruteForce
221,2,1,14,14,0.0,BruteForce
258,2,1,14,14,0.0,BruteForce
9589665,9,15,109,25,0.0,BruteForce
636,2,1,14,14,0.0,BruteForce
269,2,1,14,14,0.0,BruteForce
8835083,9,15,100,20,0.0,BruteForce
200,2,1,14,14,0.0,BruteForce
245,2,1,14,14,0.0,BruteForce
252,2,1,14,14,0.0,BruteForce
9031350,9,15,108,23,0.0,BruteForce
8559561,9,15,108,27,0.0,BruteForce
